city,cases,hospitalize,deaths,population
Ostallgäu,215,,2,125747
Osterholz,388,,5,274526
Ostholstein,364,,22,98159
Ostprignitz-Ruppin,212,,12,136511
Paderborn,674,,33,328074
Passau,168,,3,135452
Passau,176,,10,137014
Peine,248,,17,254894
Pfaffenhofen a.d. Ilm,731,,35,257253
Pforzheim,122,,4,175920
Pinneberg,209,,2,268876
Pirmasens,136,,3,129075
Plön,124,,2,94152
Potsdam,281,,8,260654
Potsdam-Mittelmark,247,,13,88467
Prignitz,306,,20,127748
Rastatt,442,,47,117387
Ravensburg,739,,27,219320
Recklinghausen,295,,8,222584
Regen,30,,1,98460
Regensburg,162,,9,78355
Regensburg,522,,24,117935
Hannover,915,,33,179116
Regionalverband Saarbrücken,922,,61,230241
Remscheid,1153,,28,753056
Rems-Murr-Kreis,23,,0,57873
Rendsburg-Eckernförde,38,,2,48561
Reutlingen,196,,3,116099
Rhein-Erft-Kreis,33,,2,89504
Rheingau-Taunus-Kreis,330,,11,192840
Rhein-Hunsrück-Kreis,1598,,68,533859
Rheinisch-Bergischer Kreis,712,,30,583109
Rhein-Kreis Neuss,485,,37,337696
Rhein-Lahn-Kreis,193,,6,136271
Rhein-Neckar-Kreis,219,,5,111962
Rhein-Pfalz-Kreis,131,,2,213699
Rhein-Sieg-Kreis,542,,8,137660
Rhön-Grabfeld,474,,12,198905
Rosenheim,370,,9,324296
Rosenheim,374,,15,325657
Rostock,509,,35,165383
Rostock,16,,0,50195
Rotenburg (Wümme),73,,3,102638
Roth,16,,1,42370
Rottal-Inn,160,,3,98561
Rottweil,253,,13,132341
Saale-Holzland-Kreis,113,,3,100380
Saalekreis,417,,4,142142
Saale-Orla-Kreis,958,,22,619294
Saalfeld-Rudolstadt,528,,27,263722
Saarlouis,762,,15,498590
Saarpfalz-Kreis,486,,5,554649
Sächsische Schweiz-Osterzgebirge,617,,5,587010
Salzgitter,112,,3,75101
Salzlandkreis,315,,21,133496
Schaumburg,54,,3,133210
Schleswig-Flensburg,183,,3,96217
Schmalkalden-Meiningen,215,,10,96021
Schwabach,300,,21,216886
Schwäbisch Hall,59,,1,81237
Schwalm-Eder-Kreis,40,,2,77607
Schwandorf,246,,9,119326
Schwarzwald-Baar-Kreis,347,,12,297399
Schweinfurt,182,,7,159207
Schweinfurt,163,,4,169067
Schwerin,790,,18,153884
Segeberg,87,,4,198213
Siegen-Wittgenstein,39,,0,100219
Sigmaringen,485,,21,219929
Soest,126,,1,61587
Solingen,163,,7,86906
Sömmerda,50,,0,41249
Sonneberg,91,,0,169348
Speyer,190,,5,247237
Spree-Neiße,375,,14,127882
St. Wendel,149,,9,178936
Stade,624,,14,158397
Städteregion Aachen,74,,1,180190
Starnberg,31,,0,113634
Steinburg,676,,27,569352
Steinfurt,1025,,44,262795
Stendal,292,,10,248292
Stormarn,52,,0,72124
Straubing,125,,5,117383
Straubing-Bogen,864,,31,370676
Stuttgart,119,,4,171734
Südliche Weinstraße,593,,6,327258
Südwestpfalz,276,,7,216227
Suhl,420,,15,364628
Teltow-Fläming,1277,,37,391640
Tirschenreuth,78,,0,80720
Traunstein,355,,3,333786
Trier,503,,17,199742
Trier-Saarburg,127,,1,112262
Tübingen,282,,6,271153
Tuttlingen,560,,15,351644
Uckermark,452,,5,308697
Uelzen,218,,6,243977
Ulm,434,,20,265225
Unna,572,,11,407765
Unstrut-Hainich-Kreis,586,,16,329691
Unterallgäu,822,,7,384172
Vechta,248,,1,268548
Verden,203,,5,291452
Viersen,440,,4,289762
Vogelsbergkreis,642,,16,342332
Vogtlandkreis,294,,2,269694
Vorpommern-Greifswald,257,,10,105722
Vorpommern-Rügen,364,,7,103656
Vulkaneifel,173,,5,74657
Waldeck-Frankenberg,326,,10,300880
Waldshut,333,,17,182760
Warendorf,371,,31,147086
Wartburgkreis,177,,13,77592
Weiden i.d. OPf.,171,,14,55123
Weilheim-Schongau,394,,7,127227
Weimar,182,,2,158080
Weimarer Land,214,,12,103218
Weißenburg-Gunzenhausen,308,,7,132660
Werra-Meißner-Kreis,83,,5,189848
Wesel,351,,9,295135
Wesermarsch,352,,6,251534
Westerwaldkreis,462,,23,174208
Wetteraukreis,102,,1,70527
Wiesbaden,482,,10,183949
Wilhelmshaven,99,,5,41847
Wittenberg,65,,0,159854
Wittmund,158,,4,124071
Wolfenbüttel,428,,33,103109
Wolfsburg,65,,3,41970
Worms,173,,3,129244
Wunsiedel i. Fichtelgebirge,558,,28,111210
Wuppertal,30,,0,83765
Würzburg,126,,7,128705
Würzburg,47,,3,90118
Zollernalbkreis,501,,9,196047
Zweibrücken,267,,18,133596
Zwickau,115,,1,129727
