days,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
days,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking
20,7424,1169,89,28,196.703,30.973,2.358,0.742,47.15,20.05,47.84,2201,155,65,13,379.994,26.76,11.222,2.244,59.38,27.39,50.9,14138,5940,43,30,168.744,70.897,0.513,0.358,50.87,33.88,45.37,619,51,15,3,4.894,0.403,0.119,0.024,123.4,108.61,112.95,6412,852,356,80,374.208,49.723,20.776,4.669,48.49,20.37,46.73,2916,350,12,2,537.884,64.561,2.214,0.369,62.82,31.17,56.75,9714,925,103,17,1122.407,106.879,11.901,1.964,51.57,23.91,45.53
21,8536,1112,96,7,226.166,29.463,2.544,0.185,48.1,19.54,49,2395,194,72,7,413.487,33.493,12.431,1.209,64.61,27.76,54.27,18187,4049,45,2,217.07,48.327,0.537,0.024,37.9,29.1,36.4,675,56,19,4,5.337,0.443,0.15,0.032,133.14,113.41,124.7,7431,1019,434,78,433.677,59.469,25.328,4.552,52.28,20.62,53.62,3156,240,14,2,582.154,44.27,2.582,0.369,64.12,32.13,57.49,10714,1000,161,58,1237.952,115.545,18.603,6.702,55.34,24.44,53.59
22,9595,1059,109,13,254.225,28.059,2.888,0.344,47.17,18.77,47.09,2577,182,77,5,444.908,31.422,13.294,0.863,70.8,29.02,60.88,21463,3276,67,22,256.171,39.101,0.8,0.263,39.75,30.14,42.76,737,62,21,2,5.827,0.49,0.166,0.016,120.19,110.5,122.39,8603,1172,546,112,502.076,68.399,31.865,6.536,46.08,19.38,48.68,3581,425,16,2,660.55,78.395,2.951,0.369,61.53,31.12,60.4,12104,1390,197,36,1398.56,160.608,22.762,4.16,52.01,25.05,57.67
23,11268,1673,138,29,298.552,44.327,3.656,0.768,51.71,18.88,48.68,2860,283,90,13,493.767,48.859,15.538,2.244,69.53,28.55,54.62,24774,3311,94,27,295.689,39.518,1.122,0.322,45.1,31.37,42.11,780,43,22,1,6.167,0.34,0.174,0.008,119.97,112.5,129.51,9762,1159,639,93,569.715,67.64,37.292,5.428,39.1,17.62,33.84,3845,264,20,4,709.247,48.697,3.689,0.738,58.65,31.04,54.9,13152,1048,235,38,1519.651,121.091,27.153,4.391,42.65,22.39,33.78
24,12519,1251,187,49,331.698,33.146,4.955,1.298,44.5,17.33,48.35,3107,247,104,14,536.411,42.644,17.955,2.417,69.08,29.55,53.2,29212,4438,126,32,348.659,52.97,1.504,0.382,45.53,31,43.85,814,34,24,2,6.436,0.269,0.19,0.016,123.25,115.65,136.79,10866,1104,771,132,634.145,64.43,44.996,7.704,46.02,20.2,38.51,4102,257,22,2,756.653,47.406,4.058,0.369,67.54,33.88,59.73,14274,1122,257,22,1649.293,129.642,29.695,2.542,50.7,23.59,41.09
25,13882,1363,231,44,367.812,36.113,6.12,1.166,36.1,16.32,39.89,3386,279,123,19,584.579,48.168,21.235,3.28,72.34,28.34,58.8,31554,2342,149,23,376.612,27.953,1.778,0.275,46.48,31.36,43.83,824,10,28,4,6.515,0.079,0.221,0.032,127.56,118.04,138.72,11750,884,864,93,685.736,51.591,50.423,5.428,49.34,20.92,46.83,4226,124,26,4,779.526,22.873,4.796,0.738,69.14,34.08,60.81,15412,1138,295,38,1780.783,131.49,34.086,4.391,56.12,26.86,51.1
26,15496,1614,280,49,410.575,42.764,7.419,1.298,47.06,18.84,51.48,3757,371,139,16,648.631,64.052,23.998,2.762,67.84,31.71,64.62,36508,4954,198,49,435.74,59.128,2.363,0.585,48.12,31.4,45.78,829,5,28,0,6.555,0.04,0.221,0,152.83,127.64,142.88,12595,845,1039,175,735.051,49.315,60.637,10.213,50.44,20.01,47.29,4447,221,28,2,820.292,40.766,5.165,0.369,70.62,33.88,59.26,16108,696,373,78,1861.203,80.419,43.098,9.013,56.89,26.63,53.27
27,16653,1157,323,43,441.231,30.655,8.558,1.139,48.1,17.9,50.34,4077,320,161,22,703.877,55.247,27.796,3.798,75.49,33.54,72.24,42288,5780,253,55,504.727,68.987,3.02,0.656,49.58,31.8,52.26,873,44,29,1,6.902,0.348,0.229,0.008,161.59,131.95,149.4,13614,1019,1173,134,794.52,59.469,68.457,7.82,51.58,20.18,46.78,4665,218,32,4,860.504,40.212,5.903,0.738,71.62,31.43,56.5,17070,962,378,5,1972.357,111.155,43.676,0.578,58.03,26.33,54.62
28,17883,1230,380,57,473.82,32.59,10.068,1.51,50.81,18.1,53.06,4369,292,179,18,754.29,50.413,30.904,3.108,84.67,34.78,80.21,48582,6294,325,72,579.849,75.122,3.879,0.859,45.98,31.88,58.85,950,77,33,4,7.511,0.609,0.261,0.032,148.75,123.18,140.39,14697,1083,1339,166,857.724,63.204,78.145,9.688,53.67,20.15,51.5,4935,270,42,10,910.308,49.804,7.747,1.845,76.72,31.38,65.04,18194,1124,432,54,2102.23,129.873,49.916,6.239,59.52,27.05,60.12
29,19274,1391,435,55,510.676,36.855,11.526,1.457,56.31,17.74,52.77,4681,312,187,8,808.155,53.866,32.285,1.381,86.89,35.29,81.1,52547,3965,389,64,627.173,47.324,4.643,0.764,42.18,29.48,33.95,1007,57,35,2,7.962,0.451,0.277,0.016,127.72,116.13,133.79,15723,1026,1487,148,917.602,59.878,86.782,8.637,48.4,19.57,55.91,5208,273,44,2,960.665,50.357,8.116,0.369,64.39,32.64,62.01,19227,1033,484,52,2221.589,119.358,55.924,6.008,54.62,25.8,61.01
30,20748,1474,509,74,549.73,39.054,13.486,1.961,45.48,16.45,45.36,5071,390,203,16,875.487,67.332,35.047,2.762,89.81,35.24,80.84,57298,4751,455,66,683.878,56.705,5.431,0.788,50,32.39,42.5,1046,39,36,1,8.27,0.308,0.285,0.008,124.82,116.35,134.98,16627,904,1651,164,970.36,52.758,96.353,9.571,46.06,21.01,52.63,5510,302,50,6,1016.372,55.707,9.223,1.107,63.56,32.94,54.89,20201,974,540,56,2334.13,112.541,62.394,6.471,56.98,27.86,62.48
